performance_id,Betweenness Centrality,Eigenvector Centrality
2016-ge,0.056725483,0.078551586
2016-cy,0.056725483,0.070887825
2015-ge,0.054531486,0.068426556
2017-bg,0.054433851,0.054837361
2011-bg,0.052889658,0.015986974
2018-at,0.047165139,0.01428017
2017-ge,0.046972168,0.080762135
2016-bg,0.046805917,0.045448053
2013-at,0.046202266,0.003322268
2021-ch,0.042759679,0.048975427
2012-se,0.041179032,0.065074779
2018-au,0.04045709,0.049556169
2023-ch,0.040401664,0.049655336
2015-az,0.040339086,0.222484387
2018-az,0.038205327,1.010899079
2018-bg,0.037842213,0.053414404
2021-mt,0.03679896,0.049179147
2016-hr,0.036373633,0.00040332
2021-al,0.03626964,0.056070938
2018-cy,0.036047566,0.061964277
2019-cy,0.036042392,0.05242313
2014-me,0.03578699,4.58E-05
2023-al,0.035582355,0.048865429
2016-lt,0.035351782,0.048800974
2017-am,0.03512786,0.069831149
2016-am,0.035122687,0.059132308
2011-ru,0.03512047,0.048749135
2022-au,0.03512047,0.039611668
2022-ch,0.03512047,0.043477126
2019-ch,0.03512047,0.055476854
2015-me,0.034380716,8.17E-06
2017-at,0.034206571,0.002973904
2008-ua,0.032903575,1.248206633
2007-by,0.03277248,1.209607841
2006-ru,0.030580556,0.905868579
2021-md,0.029669078,1.437780175
2016-at,0.028543476,0.003286697
2010-dk,0.02821187,0.024720218
2023-at,0.027851757,0.003273426
2023-de,0.027851757,0.002950998
2023-gb,0.027851757,0.002660635
2023-au,0.027851757,0.002950998
2014-at,0.027851757,0.002919935
2017-de,0.027851757,0.003273426
2012-at,0.027851757,0.002919935
2015-at,0.027851757,0.003273426
2023-ge,0.027851757,0.003273426
2023-am,0.027851757,0.002660635
2019-ru,0.026151988,1.223042236
2017-mk,0.02448976,0.043765796
2021-gr,0.023953658,0.975987714
2008-ge,0.023842614,0.259299807
2010-rs,0.022651373,1.41E-06
2010-az,0.022642309,0.165707424
2004-gr,0.022569861,1.132734975
2013-se,0.022459736,0.03855129
2018-mt,0.022360429,0.036171314
2013-ge,0.02193765,0.033421203
2019-mt,0.021768016,0.037912266
2007-es,0.021710095,0.027827095
2017-cy,0.021605013,0.039324809
2018-md,0.021473283,1.110372208
2016-ru,0.020788461,1.164065269
2014-ru,0.020782056,1.133618952
2013-rs,0.020750513,1.53E-06
2007-no,0.019872901,0.024278938
2013-az,0.019765352,1.043062411
2017-gr,0.019634257,1.108778635
2006-se,0.019411016,0.024227551
2023-se,0.019411016,0.025695746
2012-rs,0.019231046,6.91E-06
2017-az,0.018809402,0.212572409
2008-ru,0.018664649,0.795653433
2022-gr,0.018589639,0.658758905
2019-es,0.018589639,0.738199337
2005-gr,0.018589639,0.972827832
2007-rs,0.018582375,5.04E-07
2014-ua,0.01857107,0.159605865
2016-rs,0.018270646,7.63E-06
2024-at,0.017283669,0.000757518
2021-cy,0.017283669,0.000849392
2022-az,0.015756755,0.003724761
2019-nl,0.015143364,0.005943182
2015-rs,0.014842535,3.39E-07
2021-hr,0.013957815,0.000253293
2010-am,0.013370659,0.251944581
2012-si,0.01303144,7.50E-08
2007-am,0.012682635,0.253773698
2013-ua,0.011990916,0.283987851
2011-si,0.011781764,9.62E-09
2016-au,0.01072922,0.006383622
2022-am,0.010327768,0.000198559
2022-de,0.010327768,0.000196461
2022-at,0.010327768,0.000196461
2022-cy,0.010327768,0.000220296
2022-gb,0.010327768,0.000178988
2021-ee,0.010327768,0.000198559
2021-cz,0.010327768,0.000198559
2021-es,0.010327768,0.000220296
2021-bg,0.010327768,0.000196461
2024-de,0.010327768,0.000220296
2021-at,0.010327768,0.000209528
2012-ie,0.010282171,0.212970251
2005-si,0.009737091,1.15E-09
2011-ie,0.009186709,0.026659557
2017-si,0.008804638,1.28E-10
2004-dk,0.008800854,0.003547122
2023-az,0.008800854,0.003197425
2021-az,0.008800854,0.003547122
2018-dk,0.008800854,0.003547122
2008-me,0.008469629,3.04E-07
2011-ba,0.008008483,2.38E-07
2019-me,0.008008483,2.64E-07
2018-rs,0.008008483,2.64E-07
2010-ba,0.008008483,2.64E-07
2018-fi,0.007880868,0.003382941
2018-ch,0.007832647,0.001480997
2023-pl,0.007799761,0.007058312
2023-ee,0.007639209,0.004961563
2014-nl,0.007504154,0.001220037
2018-be,0.007504154,0.001220037
2017-es,0.007504154,0.001099552
2015-nl,0.007504154,0.00138871
2023-be,0.007504154,0.001220037
2016-nl,0.007504154,0.00138871
2016-be,0.007504154,0.00138871
2021-nl,0.007504154,0.001407738
2018-nl,0.007504154,0.001234695
2018-de,0.006955901,0.000506302
2013-dk,0.006955901,0.000629096
2021-sm,0.006955901,0.000629096
2023-cy,0.006955901,0.000561057
2019-cz,0.006683292,0.007761274
2016-fi,0.006586111,0.000436667
2011-az,0.006583894,0.028197726
2015-lv,0.006138268,0.000810933
2010-hr,0.005909912,2.95E-05
2006-si,0.005584375,2.53E-09
2022-pl,0.005281194,0.007884421
2017-ch,0.005223366,0.000897838
2024-mt,0.005011268,0.005403567
2017-ie,0.004992793,0.00089665
2016-si,0.004780695,2.15E-11
2018-si,0.004780695,2.18E-11
2016-it,0.004761481,0.001019448
2005-ba,0.004344676,2.98E-06
2022-si,0.00431881,1.68E-11
2024-si,0.00431881,1.91E-11
2022-hr,0.00431881,1.68E-11
2012-az,0.004309572,0.051005501
2008-gr,0.004215214,0.305727079
2014-az,0.00407124,0.027955708
2011-rs,0.00388353,1.94E-07
2005-by,0.003739668,0.482229753
2018-ee,0.003661825,0.003713908
2013-gr,0.00365,0.166206864
2007-gr,0.00365,0.188998266
2013-cy,0.00365,0.166206864
2015-gr,0.00365,0.168177282
2016-gr,0.00365,0.166206864
2015-mk,0.003642558,0.011210131
2018-hr,0.003630047,3.76E-05
2024-cy,0.003523495,0.270812019
2012-gr,0.003523495,0.267639103
2018-gr,0.003523495,0.241361095
2021-se,0.003343167,0.013905763
2021-fi,0.002973801,5.45E-05
2017-fi,0.002973801,5.45E-05
2013-fi,0.002973801,6.11E-05
2019-fi,0.002973801,6.94E-05
2015-fi,0.002973801,5.45E-05
2017-cz,0.002618704,0.007180712
2016-mt,0.00252374,0.000814001
2021-pl,0.002518567,0.001123314
2015-pl,0.002518567,0.000998786
2014-pl,0.002518567,0.001123314
2019-lv,0.002512655,0.003642614
2015-es,0.002069245,0.003932532
2010-se,0.002068506,0.004200505
2016-lv,0.002068506,0.00011256
2012-pt,0.00206555,4.53E-07
2008-pt,0.00206555,4.53E-07
2007-si,0.002064811,3.95E-07
2009-si,0.002064811,3.95E-07
2010-mt,0.002061855,0.00071335
2012-ge,0.001611732,0.02818511
2015-se,0.001611055,0.001747632
2012-es,0.00160736,0.00349913
2006-ba,0.001555099,1.54E-06
2004-cs,0.001467181,1.11E-06
2008-rs,0.001467181,1.38E-06
2016-cz,0.001402098,0.001796518
2018-cz,0.001402098,0.001796518
2014-ee,0.001380482,0.000591167
2006-am,0.001379743,0.037055868
2015-am,0.001379743,0.029080228
2009-gr,0.001158666,0.407498852
2024-al,0.00114917,0.009668135
2019-gb,0.000959612,0.000859311
2012-cy,0.000921923,0.011416922
2009-rs,0.000920814,0.001623613
2008-am,0.000691719,0.032038772
2016-es,0.000691719,0.003483787
2017-rs,0.000691719,1.02E-08
2005-lt,0.000691719,0.000525702
2016-me,0.000691719,3.60E-09
2017-se,0.000691719,0.005292952
2017-lv,0.000691719,1.41E-05
2019-az,0.000691719,0.140179601
2018-sm,0.000691719,0.000411176
2007-cy,0.000691719,0.038087976
2018-me,0.00050678,1.14E-06
2018-es,0.000461885,0.000433402
2005-se,0.000461885,8.98E-05
2024-se,0.000461885,0.005422937
2019-al,0.000461885,0.005388303
2004-se,0.000461885,0.000192805
2016-ch,0.000461885,9.91E-05
2010-si,0.000461885,2.38E-12
2005-no,0.000461885,0.002674699
2007-ge,0.000461885,0.006388856
2021-si,0.000461885,2.44E-12
2007-mk,0.000461146,6.84E-08
2015-no,0.000321657,2.32E-14
2021-no,0.000308354,2.92E-14
2009-no,0.000279718,2.01E-14
2018-no,0.000279718,2.01E-14
2017-no,0.000279533,2.81E-14
2014-ro,0.000279533,2.29E-14
2010-no,0.000279533,2.29E-14
2019-no,0.000279533,2.29E-14
2016-no,0.000279533,2.81E-14
2014-no,0.000279533,1.93E-14
2022-no,0.000279533,2.29E-14
2011-no,0.000279533,2.81E-14
2015-dk,0.000249048,7.13E-18
2012-lt,0.000231312,0.004804158
2012-ee,0.000231312,5.85E-05
2023-ie,0.000231312,8.83E-05
2007-dk,0.000179211,1.19E-17
2005-dk,0.000179211,6.88E-18
2014-dk,0.000179211,8.71E-18
2021-dk,0.000179211,6.88E-18
2006-dk,0.000179211,6.88E-18
2022-dk,0.000179211,7.10E-18
2016-dk,0.000179211,6.88E-18
2018-il,0.000133392,1.45E-18
2015-il,0.000109744,1.03E-18
2012-dk,0.000104201,2.27E-18
2016-il,0.000100876,1.02E-18
2013-il,0.000100876,1.30E-18
2010-il,0.000100876,1.02E-18
2008-il,0.000100876,1.35E-18
2019-lt,9.48E-05,1.89E-23
2018-lt,8.74E-05,2.55E-23
2022-lt,8.65E-05,2.04E-23
2009-se,7.98E-05,3.23E-25
2021-de,7.93E-05,3.16E-23
2017-lt,7.93E-05,2.45E-23
2023-lt,7.93E-05,1.59E-23
2021-lt,7.93E-05,3.36E-23
2014-by,7.61E-05,1.15E-24
2008-is,7.09E-05,1.76E-33
2015-sm,6.57E-05,2.42E-23
2019-fr,6.24E-05,1.39E-28
2015-by,5.51E-05,8.83E-25
2016-hu,5.39E-05,7.44E-26
2011-se,5.39E-05,1.38E-25
2004-mk,5.03E-05,4.57E-30
2014-mk,5.03E-05,7.22E-30
2014-sm,4.95E-05,3.02E-23
2013-sm,4.95E-05,3.02E-23
2012-sm,4.93E-05,2.22E-23
2017-sm,4.78E-05,1.73E-23
2006-ch,4.78E-05,1.38E-23
2010-is,4.51E-05,1.02E-33
2010-md,4.29E-05,1.16E-28
2013-no,4.21E-05,4.61E-15
2008-se,3.99E-05,1.06E-25
2011-cy,3.92E-05,7.07E-28
2012-is,3.90E-05,1.17E-33
2016-is,3.90E-05,1.50E-33
2013-is,3.86E-05,1.01E-33
2007-is,3.84E-05,9.79E-34
2017-md,3.84E-05,1.51E-28
2019-hu,3.55E-05,5.46E-26
2018-hu,3.47E-05,6.46E-26
2017-hu,3.47E-05,4.16E-26
2009-dk,3.44E-05,5.18E-19
2013-md,3.25E-05,1.07E-28
2024-il,3.25E-05,5.52E-19
2017-mt,3.23E-05,2.63E-27
2009-cy,2.96E-05,4.69E-28
2008-cy,2.96E-05,6.81E-28
2005-cy,2.96E-05,3.74E-28
2023-no,2.88E-05,4.76E-15
2022-fr,2.77E-05,6.57E-29
2021-fr,2.77E-05,6.57E-29
2009-is,2.36E-05,4.97E-34
2008-mt,2.22E-05,2.20E-27
2007-mt,2.22E-05,2.86E-27
2004-mt,2.22E-05,1.78E-27
2006-mk,2.11E-05,7.26E-36
2019-am,2.11E-05,1.75E-34
2009-ee,2.00E-05,1.52E-42
2014-fr,1.92E-05,9.62E-29
2009-hu,1.92E-05,3.97E-26
2011-by,1.88E-05,6.41E-25
2005-de,1.81E-05,5.68E-24
2005-ch,1.81E-05,5.68E-24
2016-md,1.77E-05,1.03E-28
2004-ru,1.74E-05,6.29E-38
2018-gb,1.66E-05,1.68E-34
2017-gb,1.66E-05,1.18E-34
2015-gb,1.66E-05,1.68E-34
2016-gb,1.66E-05,1.68E-34
2010-ch,1.55E-05,4.31E-24
2018-fr,1.55E-05,5.34E-29
2009-mk,1.55E-05,1.88E-30
2009-ba,1.55E-05,2.97E-30
2015-lt,1.53E-05,1.28E-23
2018-mk,1.44E-05,6.82E-36
2024-am,1.44E-05,1.83E-34
2024-ge,1.44E-05,6.82E-36
2018-am,1.44E-05,1.83E-34
2021-ie,1.40E-05,3.32E-26
2015-al,1.33E-05,1.98E-38
2011-es,1.26E-05,1.59E-38
2004-is,1.26E-05,3.13E-34
2011-ee,1.22E-05,1.04E-42
2017-ee,1.22E-05,1.04E-42
2005-ee,1.22E-05,7.45E-43
2022-mt,1.22E-05,9.33E-28
2018-ua,1.18E-05,1.11E-29
2021-ua,1.18E-05,1.23E-29
2016-ua,1.18E-05,5.79E-30
2007-ru,1.15E-05,3.76E-38
2010-by,1.15E-05,5.66E-38
2017-be,1.15E-05,7.92E-31
2019-sm,1.03E-05,2.63E-34
2023-md,1.03E-05,3.42E-29
2013-by,9.61E-06,2.95E-33
2004-be,9.61E-06,1.77E-33
2004-lt,9.61E-06,1.82E-28
2006-ad,9.61E-06,1.01E-38
2005-ad,9.61E-06,1.53E-38
2009-mt,9.61E-06,1.05E-33
2019-be,9.24E-06,5.29E-31
2010-gr,8.87E-06,1.46E-29
2011-am,8.87E-06,1.95E-29
2017-al,8.13E-06,1.81E-34
2008-hu,8.13E-06,8.34E-41
2008-by,7.76E-06,9.73E-30
2007-ee,7.76E-06,1.81E-42
2018-pl,7.76E-06,7.09E-39
2019-pl,7.76E-06,7.09E-39
2017-pl,7.76E-06,4.63E-39
2014-am,6.65E-06,5.80E-35
2014-al,6.65E-06,1.50E-38
2008-mk,6.65E-06,2.56E-36
2011-al,6.65E-06,1.50E-38
2015-si,6.65E-06,2.52E-31
2014-si,6.65E-06,1.53E-31
2013-si,6.10E-06,1.27E-31
2015-be,5.91E-06,9.30E-31
2004-fr,5.91E-06,2.76E-38
2024-be,5.54E-06,3.12E-31
2019-mk,5.54E-06,2.78E-30
2006-al,5.54E-06,1.00E-34
2021-mk,5.54E-06,2.36E-30
2018-by,5.54E-06,7.48E-28
2009-ua,5.54E-06,2.99E-28
2016-by,5.54E-06,3.24E-37
2012-ru,5.54E-06,3.89E-37
2008-al,5.17E-06,1.12E-37
2007-al,5.17E-06,1.12E-37
2017-ro,4.43E-06,7.07E-35
2009-al,4.43E-06,7.07E-35
2011-hu,4.43E-06,1.20E-40
2022-ro,4.43E-06,4.02E-35
2017-il,4.43E-06,1.84E-19
2007-ad,4.43E-06,1.56E-37
2004-al,4.43E-06,4.02E-35
2005-al,4.43E-06,5.97E-38
2023-sm,4.43E-06,8.58E-35
2007-hu,3.70E-06,4.30E-41
2018-ro,3.33E-06,3.85E-41
2004-by,3.33E-06,7.87E-38
2019-ro,3.33E-06,3.85E-41
2016-se,3.33E-06,3.85E-41
2019-hr,3.33E-06,7.87E-38
2009-by,3.33E-06,7.87E-38
2017-hr,3.33E-06,7.87E-38
2014-pt,3.33E-06,3.85E-41
2007-pt,3.33E-06,3.85E-41
2014-se,3.33E-06,3.85E-41
2024-dk,2.96E-06,1.47E-36
2014-es,2.96E-06,4.67E-39
2014-hu,2.96E-06,1.94E-36
2022-is,2.96E-06,7.04E-37
2016-pl,2.96E-06,1.94E-36
2019-dk,2.96E-06,3.68E-36
2007-pl,2.96E-06,7.04E-37
2012-hu,2.96E-06,7.04E-37
2019-is,2.96E-06,1.94E-36
2018-al,2.59E-06,4.63E-35
2012-de,2.22E-06,1.33E-41
2016-ie,2.22E-06,2.15E-41
2006-hr,2.22E-06,2.68E-44
2006-is,2.22E-06,2.68E-44
2010-lv,2.22E-06,5.27E-45
2016-fr,2.22E-06,2.15E-41
2007-lv,2.22E-06,2.94E-45
2005-fi,2.22E-06,4.08E-44
2008-lv,2.22E-06,5.27E-45
2004-fi,2.22E-06,2.68E-44
2017-fr,2.22E-06,1.33E-41
2005-hr,2.22E-06,4.08E-44
2021-il,2.22E-06,2.94E-45
2004-lv,2.22E-06,2.94E-45
2005-is,2.22E-06,4.08E-44
2019-il,2.22E-06,5.27E-45
2005-md,1.48E-06,2.15E-39
2013-am,1.48E-06,2.88E-53
2023-nl,1.48E-06,2.88E-53
2022-nl,1.48E-06,2.88E-53
2012-ba,1.48E-06,2.88E-53
2011-md,1.48E-06,2.15E-39
2009-am,1.48E-06,2.88E-53
2019-ee,1.48E-06,1.58E-50
2015-ee,1.48E-06,1.26E-50
2010-ie,1.48E-06,2.88E-53
2024-lu,1.48E-06,2.96E-37
2022-be,1.48E-06,7.67E-38
2004-ba,1.48E-06,2.88E-53
2009-ie,1.48E-06,2.88E-53
2019-rs,1.11E-06,1.20E-35
2005-mk,1.11E-06,6.34E-47
2021-rs,1.11E-06,2.13E-35
2011-gr,7.39E-07,1.11E-56
2015-cy,7.39E-07,1.66E-58
2005-mc,7.39E-07,8.94E-59
2005-cs,7.39E-07,1.56E-44
2011-de,7.39E-07,8.94E-59
2004-cy,7.39E-07,8.94E-59
2023-gr,7.39E-07,7.74E-57
2011-is,7.39E-07,1.47E-52
2007-me,7.39E-07,2.23E-44
2012-no,7.39E-07,7.74E-57
2018-is,7.39E-07,9.12E-53
2004-mc,7.39E-07,1.66E-58
2022-ge,7.39E-07,1.11E-56
2021-ge,7.39E-07,7.74E-57
2010-de,7.39E-07,1.66E-58
2016-mk,3.70E-07,9.17E-49
2012-mk,3.70E-07,9.17E-49
2023-it,3.70E-07,1.10E-57
2024-pt,0,6.57E-48
2024-md,0,1.40E-55
2017-nl,0,6.57E-48
2024-pl,0,1.18E-35
2024-no,0,5.00E-61
2024-rs,0,8.10E-80
2024-fr,0,2.23E-67
2024-nl,0,2.03E-29
2021-pt,0,5.00E-61
2017-it,0,1.28E-44
2024-is,0,2.15E-34
2019-pt,0,2.23E-67
2017-me,0,1.28E-44
2021-lv,0,8.10E-80
2024-gr,0,2.03E-29
2021-be,0,6.57E-48
2021-au,0,5.00E-61
2021-gb,0,5.00E-61
2021-it,0,5.00E-61
2024-lv,0,2.23E-67
2024-hr,0,9.84E-38
2019-se,0,3.37E-55
2024-lt,0,1.18E-35
2024-it,0,1.28E-44
2024-ie,0,3.37E-55
2019-si,0,5.00E-61
2021-is,0,6.57E-48
2019-at,0,8.10E-80
2021-ro,0,5.00E-61
2022-fi,0,5.00E-61
2023-cz,0,3.37E-55
2022-bg,0,5.00E-61
2022-cz,0,6.57E-48
2022-ua,0,6.57E-48
2022-ee,0,3.37E-55
2022-es,0,1.28E-44
2022-sm,0,6.57E-48
2018-ie,0,1.28E-44
2019-de,0,5.00E-61
2018-it,0,5.00E-61
2022-se,0,5.00E-61
2018-lv,0,2.23E-67
2022-rs,0,6.57E-48
2018-ge,0,6.57E-48
2019-by,0,1.28E-44
2022-pt,0,2.23E-67
2018-pt,0,2.23E-67
2022-mk,0,9.84E-38
2022-me,0,3.37E-55
2018-ru,0,1.28E-44
2019-au,0,5.00E-61
2018-se,0,6.57E-48
2022-md,0,6.57E-48
2022-lv,0,6.57E-48
2022-it,0,3.37E-55
2022-ie,0,6.57E-48
2023-dk,0,1.62E-79
2023-es,0,1.62E-79
2024-fi,0,6.57E-48
2023-ua,0,6.57E-48
2024-es,0,1.28E-44
2024-ee,0,2.23E-67
2017-pt,0,2.23E-67
2024-cz,0,1.18E-35
2024-ch,0,5.00E-61
2024-az,0,6.57E-48
2024-au,0,1.28E-44
2017-ua,0,6.57E-48
2019-md,0,5.00E-61
2021-ru,0,3.37E-55
2019-it,0,8.10E-80
2022-al,0,3.37E-55
2022-il,0,5.00E-61
2023-fi,0,6.57E-48
2023-rs,0,5.00E-61
2023-ro,0,2.23E-67
2023-pt,0,3.37E-55
2019-ie,0,6.57E-48
2023-mt,0,5.00E-61
2023-lv,0,5.00E-61
2019-gr,0,1.18E-35
2023-is,0,1.62E-79
2019-ge,0,6.57E-48
2023-il,0,6.57E-48
2023-hr,0,6.57E-48
2023-fr,0,2.23E-67
2023-si,0,5.00E-61
2004-ad,0,1.62E-79
2017-is,0,1.28E-44
2007-tr,0,5.00E-61
2008-fi,0,5.00E-61
2008-es,0,5.00E-61
2008-ee,0,5.00E-61
2008-dk,0,5.00E-61
2008-de,0,1.62E-79
2008-cz,0,5.00E-61
2008-ch,0,3.37E-55
2008-bg,0,1.62E-79
2008-be,0,1.62E-79
2008-ba,0,8.10E-80
2008-az,0,5.00E-61
2008-ad,0,1.62E-79
2007-ua,0,5.00E-61
2007-se,0,1.62E-79
2007-be,0,6.57E-48
2007-ro,0,5.00E-61
2007-nl,0,3.37E-55
2007-md,0,1.98E-55
2007-lt,0,1.62E-79
2007-il,0,1.62E-79
2007-ie,0,1.62E-79
2007-hr,0,1.62E-79
2007-gb,0,1.62E-79
2007-fr,0,1.62E-79
2007-fi,0,6.57E-48
2007-de,0,5.00E-61
2007-cz,0,1.62E-79
2007-ch,0,8.10E-80
2008-fr,0,2.23E-67
2008-gb,0,1.62E-79
2008-hr,0,1.62E-79
2008-ie,0,6.57E-48
2009-nl,0,5.00E-61
2009-me,0,5.00E-61
2009-md,0,3.37E-55
2009-lv,0,9.84E-38
2009-lt,0,2.23E-67
2009-il,0,5.00E-61
2009-hr,0,6.57E-48
2009-gb,0,5.00E-61
2009-fr,0,5.00E-61
2009-fi,0,6.57E-48
2009-es,0,6.57E-48
2009-de,0,5.00E-61
2009-cz,0,1.62E-79
2009-ch,0,1.62E-79
2009-bg,0,3.37E-55
2009-be,0,5.00E-61
2009-az,0,2.23E-67
2009-ad,0,3.37E-55
2008-tr,0,1.62E-79
2008-sm,0,6.57E-48
2008-si,0,6.57E-48
2008-ro,0,3.37E-55
2008-pl,0,2.23E-67
2008-no,0,6.72E-57
2008-nl,0,3.37E-55
2008-md,0,6.57E-48
2008-lt,0,3.37E-55
2007-bg,0,5.00E-61
2007-ba,0,6.57E-48
2009-pt,0,2.23E-67
2004-si,0,5.00E-61
2005-mt,0,3.00E-34
2005-lv,0,1.62E-79
2005-il,0,3.37E-55
2005-ie,0,5.00E-61
2005-hu,0,6.57E-48
2005-gb,0,2.23E-67
2005-fr,0,6.57E-48
2005-es,0,5.00E-61
2005-bg,0,2.23E-67
2005-be,0,1.62E-79
2005-at,0,5.00E-61
2004-ua,0,2.23E-67
2004-tr,0,1.62E-79
2004-ro,0,5.00E-61
2007-at,0,6.57E-48
2004-pt,0,5.00E-61
2004-pl,0,5.00E-61
2004-no,0,6.57E-48
2004-nl,0,6.57E-48
2004-il,0,3.37E-55
2004-ie,0,5.00E-61
2004-hr,0,6.57E-48
2004-gb,0,5.00E-61
2004-es,0,5.00E-61
2004-ee,0,5.00E-61
2004-de,0,5.00E-61
2004-ch,0,1.62E-79
2004-at,0,1.62E-79
2005-nl,0,5.00E-61
2005-pl,0,6.57E-48
2005-pt,0,3.37E-55
2005-ro,0,1.62E-79
2006-ua,0,2.23E-67
2006-tr,0,2.23E-67
2006-ro,0,5.00E-61
2006-pt,0,1.62E-79
2006-pl,0,5.00E-61
2006-no,0,5.00E-61
2006-nl,0,1.62E-79
2006-mt,0,3.37E-55
2006-md,0,1.62E-79
2006-mc,0,1.62E-79
2006-lv,0,5.00E-61
2006-lt,0,5.00E-61
2006-il,0,3.37E-55
2006-ie,0,2.23E-67
2006-gr,0,3.37E-55
2006-gb,0,5.00E-61
2006-fr,0,5.00E-61
2006-fi,0,5.00E-61
2006-es,0,5.00E-61
2006-ee,0,6.57E-48
2006-de,0,1.62E-79
2006-cy,0,5.00E-61
2006-by,0,5.00E-61
2006-bg,0,3.37E-55
2006-be,0,5.00E-61
2005-ua,0,3.57E-51
2005-tr,0,9.84E-38
2009-pl,0,6.57E-48
2009-ro,0,9.84E-38
2017-dk,0,5.00E-61
2013-it,0,6.10E-58
2014-gb,0,5.00E-61
2014-fi,0,2.23E-67
2014-de,0,5.00E-61
2014-ch,0,5.00E-61
2014-be,0,3.37E-55
2013-ru,0,6.57E-48
2013-ro,0,5.00E-61
2013-nl,0,3.37E-55
2013-mt,0,5.00E-61
2013-mk,0,6.57E-48
2013-me,0,6.57E-48
2013-lv,0,3.37E-55
2013-lt,0,2.23E-67
2013-ie,0,5.00E-61
2012-ro,0,5.00E-61
2013-hu,0,3.37E-55
2013-hr,0,1.62E-79
2013-gb,0,5.00E-61
2013-fr,0,6.57E-48
2013-es,0,6.57E-48
2013-ee,0,6.57E-48
2013-de,0,1.62E-79
2013-ch,0,1.62E-79
2013-bg,0,3.33E-61
2013-be,0,5.00E-61
2013-al,0,5.00E-61
2012-ua,0,1.28E-44
2012-tr,0,2.23E-67
2014-ge,0,5.00E-61
2014-gr,0,1.28E-44
2014-ie,0,1.28E-44
2014-il,0,5.00E-61
2017-by,0,6.57E-48
2017-au,0,6.57E-48
2016-sm,0,4.47E-34
2016-ee,0,5.00E-61
2016-de,0,6.57E-48
2016-ba,0,9.84E-38
2016-az,0,6.57E-48
2016-al,0,5.00E-61
2015-ro,0,3.37E-55
2015-pt,0,5.00E-61
2015-mt,0,5.00E-61
2015-md,0,5.00E-61
2015-it,0,1.62E-79
2015-is,0,3.37E-55
2015-ie,0,3.37E-55
2015-hu,0,3.37E-55
2015-fr,0,3.37E-55
2015-de,0,5.00E-61
2015-cz,0,5.00E-61
2015-ch,0,2.23E-67
2015-au,0,5.00E-61
2014-mt,0,1.62E-79
2014-md,0,6.57E-48
2014-lv,0,1.62E-79
2014-lt,0,3.37E-55
2014-it,0,6.57E-48
2014-is,0,6.57E-48
2012-sk,0,5.00E-61
2012-nl,0,2.23E-67
2009-ru,0,2.23E-67
2010-nl,0,1.62E-79
2011-fr,0,5.00E-61
2011-fi,0,1.62E-79
2011-dk,0,5.00E-61
2011-ch,0,5.00E-61
2011-be,0,1.62E-79
2011-at,0,2.23E-67
2010-ua,0,5.00E-61
2010-tr,0,1.28E-44
2010-sk,0,5.00E-61
2010-ru,0,5.00E-61
2010-ro,0,5.00E-61
2010-pt,0,5.00E-61
2010-pl,0,1.28E-44
2010-mk,0,5.00E-61
2012-mt,0,5.00E-61
2010-lt,0,1.62E-79
2010-ge,0,6.57E-48
2010-gb,0,1.62E-79
2010-fr,0,1.62E-79
2010-fi,0,5.00E-61
2010-es,0,6.57E-48
2010-ee,0,5.00E-61
2010-cy,0,2.23E-67
2010-bg,0,6.57E-48
2010-be,0,3.37E-55
2010-al,0,6.57E-48
2009-tr,0,6.57E-48
2009-sk,0,3.37E-55
2011-gb,0,1.62E-79
2011-ge,0,6.57E-48
2011-hr,0,6.57E-48
2011-il,0,2.04E-19
2012-me,0,3.37E-55
2012-md,0,3.37E-55
2012-lv,0,6.57E-48
2012-it,0,2.23E-67
2012-il,0,1.62E-79
2012-hr,0,2.23E-67
2012-gb,0,6.57E-48
2012-fr,0,3.37E-55
2012-fi,0,5.00E-61
2012-ch,0,5.00E-61
2012-by,0,5.00E-61
2012-bg,0,5.00E-61
2012-be,0,5.00E-61
2012-al,0,2.23E-67
2011-ua,0,6.57E-48
2011-tr,0,5.00E-61
2011-sm,0,6.57E-48
2011-sk,0,5.00E-61
2011-ro,0,2.23E-67
2011-pt,0,5.00E-61
2011-pl,0,2.23E-67
2011-nl,0,5.00E-61
2011-mt,0,5.00E-61
2011-mk,0,5.46E-48
2011-lv,0,5.00E-61
2011-lt,0,3.37E-55
2011-it,0,2.23E-67
2024-ua,0,6.57E-48